"id","created_at","fvmUsers_id","fvmService","fvmSchedule","fvmClinic_id","fvmName","fvmAddress","fvmEmail","fvmNumber","fvmVet","fvmLink","fvmPrice","fvmTime"
"8794b0b8-47b4-4dc2-9459-0bf29fc23626","2024-02-01 11:05:59.081107+00","d721b71f-99ce-4f91-ad26-bf417e7f370a","Confinement, Grooming, Home Service","Monday,  Tuesday","99ad8593-c8ee-4e88-a815-dd07d6cb106b","Eryl","j","j","j","","k","900","9:00 am to 5:00 pm"
"a98a508f-e828-4ce5-ad31-f3069f700e4a","2024-02-01 11:05:59.081107+00","d721b71f-99ce-4f91-ad26-bf417e7f370a","Confinement,    Grooming,    Pet Supply,  CBC","Wednesday,    Thursday","60e863ea-cc0b-4325-b8a2-0f2dd120349c","Office of the City Veterinarian","Arthur Street, Olongapo City Hall","office@gmail.com","09187278844","","office.com","150",""
"c319633d-b3c0-4437-ab0c-784b08101a5c","2024-02-01 11:05:59.081107+00","d721b71f-99ce-4f91-ad26-bf417e7f370a","Confinement,   Deworming,   Home Service,  CBC","Monday","3cd506e4-17c6-478d-a372-c204edc1a955","Lil One Stop Vet Clinic","32-C 20th Street, Olongapo","lil@gmail.com","09282371174","","lil.com","200",""
"2b537fd1-e0b2-40b6-815f-b62d63355d90","2024-02-01 11:05:59.081107+00","d721b71f-99ce-4f91-ad26-bf417e7f370a","Confinement, Boarding","Monday","790a0966-2c4f-4c62-947f-ca824700a7d8","Raniel Pet Care","Block 4 Guanga Lane","raniel@gmail.com","09228379292","","raniel.com","300","9am to 5pm"
"ac40e2f0-b828-4daf-83f5-45a0ca44906c","2024-02-01 11:05:59.081107+00","d721b71f-99ce-4f91-ad26-bf417e7f370a","Confinement,    Pet Supply,  Deworming","Saturday,    Sunday","ef4506e9-0023-40b2-93b6-4608b4954705","VJ Pet Doctors","Brill Street, Olongapo","vj@gmail.com","09827378899","","vj.com","300",""
"3bdf3ce1-46e3-41ac-9b6c-f1e4e45afcfe","2024-02-01 11:05:59.081107+00","d721b71f-99ce-4f91-ad26-bf417e7f370a","Home Service,    Deworming","Monday,        Sunday","9004411c-65ee-48dc-8263-ca840fa23f21","Vet ng Gapo Animal Clinic","#67 National Hi-way, Brgy. Barretto","vetnggapo@gmail.com","09123456789","","https://www.facebook.com/VNGAC","300",""
"e31f1d93-4a07-4173-85e7-9ffe714059b5","2024-02-01 11:05:59.081107+00","d721b71f-99ce-4f91-ad26-bf417e7f370a","Deworming,      Confinement,      Boarding","Monday,    Tuesday,    Wednesday,    Thursday,    Friday","e1a187d6-5dea-4cbe-a799-8ff3f7865bdd","Kitto's Veterinary Clinic","National Highway, Olongapo City","kitto@gmail.com","09199829453","","kitt.com","300",""
"5ea0bb9c-10b5-4b43-9b3f-955bf96807e7","2024-01-31 08:15:22.860309+00","e575bd15-d5c9-4e23-9e81-c5b8b4632fac","Boarding,     Pet Supply","Wednesday","50a1dc12-fd44-4eb7-9a05-352f2cf29bba","Animal's Choice Veterinary Clinic","7th Street","animalsc@gmail.com","09187279900","hljhkljhjhl","animalchoice.com","300","8am to 5pm"
"28a27b02-c9cf-461d-b64c-a5be723af2e6","2024-01-31 08:15:22.860309+00","e575bd15-d5c9-4e23-9e81-c5b8b4632fac","Confinement,    Grooming,    Pet Supply,  CBC","Wednesday,    Thursday","60e863ea-cc0b-4325-b8a2-0f2dd120349c","Office of the City Veterinarian","Arthur Street, Olongapo City Hall","office@gmail.com","09187278844","Eryl","office.com","150","8am to 5pm"
"9e83e276-c7a5-4164-a457-65c0edf1a91c","2024-01-31 08:15:22.860309+00","e575bd15-d5c9-4e23-9e81-c5b8b4632fac","Confinement,   Deworming,   Home Service,  CBC","Monday","3cd506e4-17c6-478d-a372-c204edc1a955","Lil One Stop Vet Clinic","32-C 20th Street, Olongapo","lil@gmail.com","09282371174","Lil","lil.com","200","9am to 6pm"
