"id","fvName","fvAddress","fvNumber","fvEmail","fvVet","fvService","fvSchedule","fvLink","fvClinic_id","fvUsers_id","fvPrice","fvTime"
"1c662966-9ff5-482f-b1c2-f0738906cb65","Pet Needs","Opposite Pagasa Public Market, Gordon Ave.","09187279922","pet@gmail.com","Perry","Boarding,  Home Service,  Digital Xray,  Lab Tests,  Blood Chemistry","Thursday","pet.com","c430f241-5986-41e7-8791-6558ea002e3e","1986a1f0-8941-4e0d-9f26-a9327f7c3d90","300","9am to 6pm"
"3f1fcfaf-7995-46e6-a949-1f2d9b8d5fb2","Olongapo City Veterinary Office","Olongapo","09123456788","vet3@gmail.com","jay","Confinement,   Boarding,  CBC","Friday,     Saturday","vet3.com","8cf7f248-30b2-4cfb-b778-07083823fb39","1986a1f0-8941-4e0d-9f26-a9327f7c3d90","300","8am to 5pm"
"6af48dc8-eb5b-4198-a502-ad09d70034a8","Puss and Boots","Olongapo","09123456789","vet5@gmail.com","eryl","Boarding,     Pet Supply,  Vaccination,  CBC,  Surgery","Thursday","jjjjj","9bf3c3f4-e813-463d-b3b6-c317d0b7296a","1986a1f0-8941-4e0d-9f26-a9327f7c3d90","100","8am to 7pm"
"e6873f2e-b72f-474c-858b-c821b0d54540","Doc J Veterinary Clinic","Olongapo","808","jhjljjkl","kjlkljhjlk","Pet Supply,   Boarding,  Lab Tests,  Surgery,  Vaccination","Tuesday","hjhlkjklhjj","37e0088a-64b4-4e93-b9df-40107c222612","1986a1f0-8941-4e0d-9f26-a9327f7c3d90","300","8am to 5pm"
"d8b51e32-7005-4531-9061-ed68617f2522","AB Housevet Animal Clinic","20th Street Corner, Elicano Street, Olongapo","09123456789","vet2@gmail.com","early","Grooming,       Boarding,  CBC","Thursday,       Tuesday,       Wednesday","vet2.com","a3137bee-9fa5-4a93-8d41-6cc86eb01255","e575bd15-d5c9-4e23-9e81-c5b8b4632fac","300","9am to 5pm"
"b3b8c16b-c96c-475c-87d9-c73020ff3836","Eryl Vet","Barretto","0909090909","eryl@gmai.com","eryl","Deworming, Pet Supply","Saturday","eryl.com","3e1acad2-c814-445d-ad0c-d10659157ae7","1986a1f0-8941-4e0d-9f26-a9327f7c3d90","400",""
"a1d8b4b3-c079-4a62-8804-13897f06a016","AB Housevet Animal Clinic","20th Street Corner, Elicano Street, Olongapo","09123456789","vet2@gmail.com","early","Grooming,       Boarding,  CBC","Thursday,       Tuesday,       Wednesday","vet2.com","a3137bee-9fa5-4a93-8d41-6cc86eb01255","1986a1f0-8941-4e0d-9f26-a9327f7c3d90","300","9am to 5pm"
"bfaea907-2826-49af-a826-52dade45dcf6","Animal's Choice Veterinary Clinic","7th Street","09187279900","animalsc@gmail.com","hljhkljhjhl","Boarding,     Pet Supply","Wednesday","animalchoice.com","50a1dc12-fd44-4eb7-9a05-352f2cf29bba","1986a1f0-8941-4e0d-9f26-a9327f7c3d90","300","8am to 5pm"
"2e01eade-8e78-4272-bb12-edf8dfa5d60d","Puss and Boots","Olongapo","09123456789","vet5@gmail.com","","Boarding,      Pet Supply,   Vaccination,   CBC,   Surgery","Thursday","pussandboots.com","9bf3c3f4-e813-463d-b3b6-c317d0b7296a","e575bd15-d5c9-4e23-9e81-c5b8b4632fac","",""
"9e86a721-cfa0-4186-b808-7a9904d00583","AB Housevet Animal Clinic","20th Street Corner, Elicano Street, Olongapo","09123456789","vet2@gmail.com","","Grooming,       Boarding,  CBC","Thursday,       Tuesday,       Wednesday","vet2.com","a3137bee-9fa5-4a93-8d41-6cc86eb01255","d721b71f-99ce-4f91-ad26-bf417e7f370a","300",""
"6d46df57-1a47-479b-b6c8-12a1ee20c5d5","Tuliao Veterinary Clinic","30 Elicano Street, East Bajac-bajac, Olongapo","09182747722","tulinao@gmail.com","","Confinement,    Boarding,    Grooming","Monday,   Wednesday,   Friday","tuliao.com","99e3ac52-c36f-4bf8-a48d-42ca3cc0b8d4","d721b71f-99ce-4f91-ad26-bf417e7f370a","200",""
"5b201afe-7089-4514-9384-d2870451cb0a","Happy Paws Olongapo","Olongapop","09123456789","vet4@gmail.com","","Confinement,    Boarding","Tuesday,   Saturday","vet4.com","deaf9414-6daa-44c3-80ac-d58062bca2cd","d721b71f-99ce-4f91-ad26-bf417e7f370a","100",""
"596a3941-5b25-4424-9cc1-56c22b0eb360","Tuliao Veterinary Clinic","30 Elicano Street, East Bajac-bajac, Olongapo","09182747722","tulinao@gmail.com","","Confinement,     Boarding,     Grooming","Monday,    Wednesday,    Friday","tuliao.com","99e3ac52-c36f-4bf8-a48d-42ca3cc0b8d4","86c2f82d-d021-4838-8743-a1870c5080a3","","8:00 am to 5:00 pm"
"10dc54cc-706f-4415-91ca-b910306cebff","Raniel Pet Care","Block 4 Guanga Lane","09228379292","raniel@gmail.com","","Confinement, Boarding","Monday","raniel.com","790a0966-2c4f-4c62-947f-ca824700a7d8","86c2f82d-d021-4838-8743-a1870c5080a3","","9am to 5pm"
