"id","mName","mAddress","mNumber","mEmail","mVet","mService","mSchedule","mLink","mUsers_id","mClinic_id","mPrice","mTime"
"d52766c8-9390-4345-9522-700671611449","Olongapo City Veterinary Office","Olongapo","09123456788","vet3@gmail.com","jay","Confinement,   Boarding,  CBC","Friday,     Saturday","vet3.com","dbe1faa1-ef83-4024-a9bc-1f20641da992","8cf7f248-30b2-4cfb-b778-07083823fb39","",""
"99e519eb-ea40-492e-a031-42ae3f9ac9e0","Lil One Stop Vet Clinic","32-C 20th Street, Olongapo","09282371174","lil@gmail.com","Lil","Confinement,   Deworming,   Home Service,  CBC","Monday","lil.com","dbe1faa1-ef83-4024-a9bc-1f20641da992","3cd506e4-17c6-478d-a372-c204edc1a955","",""
"e71d193d-f382-4d8d-a03c-fa8cf4c00e88","Kitto's Veterinary Clinic","National Highway, Olongapo City","09199829453","kitto@gmail.com","Kit","Deworming,     Confinement,     Boarding","Monday,   Tuesday,   Wednesday,   Thursday,   Friday","kitt.com","dbe1faa1-ef83-4024-a9bc-1f20641da992","e1a187d6-5dea-4cbe-a799-8ff3f7865bdd","",""
"e6d1703c-d186-4bf6-9bdb-b9ab69a31da4","Doc J Veterinary Clinic","Olongapo","808","jhjljjkl","kjlkljhjlk","Pet Supply,    Boarding,   Lab Tests,   Surgery,   Vaccination","Tuesday","docj.com","dbe1faa1-ef83-4024-a9bc-1f20641da992","37e0088a-64b4-4e93-b9df-40107c222612","",""
"229c1e13-4698-4e1a-afb1-618e1f26d49f","Tuliao Veterinary Clinic","30 Elicano Street, East Bajac-bajac, Olongapo","09182747722","tulinao@gmail.com","Tulinao","Confinement,    Boarding,    Grooming","Monday,   Wednesday,   Friday","tuliao.com","dbe1faa1-ef83-4024-a9bc-1f20641da992","99e3ac52-c36f-4bf8-a48d-42ca3cc0b8d4","",""
"d7d28d07-fc1c-414d-acc2-ae8fe9cdd4ff","Animal's Choice Veterinary Clinic","kjhlhkjjhlhj","ljhklhjhljk","jhllhhjlhj","hljhkljhjhl","Boarding,    Pet Supply","Wednesday","animalchoice.com","dbe1faa1-ef83-4024-a9bc-1f20641da992","50a1dc12-fd44-4eb7-9a05-352f2cf29bba","",""
"4a286203-07ce-4b2d-bb35-ca9df509dd4a","Vet ng Gapo Animal Clinic","#67 National Hi-way, Brgy. Barretto","09123456789","vetnggapo@gmail.com","Eryl","Home Service,    Deworming","Monday,        Sunday","https://www.facebook.com/VNGAC","dbe1faa1-ef83-4024-a9bc-1f20641da992","9004411c-65ee-48dc-8263-ca840fa23f21","",""
"898b0d9a-7dee-47ca-b1ee-80c7e0692360","Office of the City Veterinarian","Arthur Street, Olongapo City Hall","09187278844","office@gmail.com","Eryl","Confinement,    Grooming,    Pet Supply,  CBC","Wednesday,    Thursday","office.com","dbe1faa1-ef83-4024-a9bc-1f20641da992","60e863ea-cc0b-4325-b8a2-0f2dd120349c","",""
"76efa6c0-69f3-4c03-a20a-766b1d4d8e38","Pet Needs","Opposite Pagasa Public Market, Gordon Ave.","09187279922","pet@gmail.com","Perry","Boarding,  Home Service,  Digital Xray,  Lab Tests,  Blood Chemistry","Thursday","pet.com","0c41ecb8-eaeb-44c5-866f-f0f96586a0f7","c430f241-5986-41e7-8791-6558ea002e3e","",""
"d4f3b9da-9d48-4406-b6ee-bd7b5ff8ecc4","Animal's Choice Veterinary Clinic","kjhlhkjjhlhj","ljhklhjhljk","jhllhhjlhj","hljhkljhjhl","Boarding,    Pet Supply","Wednesday","animalchoice.com","0c41ecb8-eaeb-44c5-866f-f0f96586a0f7","50a1dc12-fd44-4eb7-9a05-352f2cf29bba","",""
"70650116-739b-47e0-b695-197b3a2d3880","Office of the City Veterinarian","Arthur Street, Olongapo City Hall","09187278844","office@gmail.com","Eryl","Confinement,    Grooming,    Pet Supply,  CBC","Wednesday,    Thursday","office.com","0c41ecb8-eaeb-44c5-866f-f0f96586a0f7","60e863ea-cc0b-4325-b8a2-0f2dd120349c","",""
"9d2776fd-fdba-40d2-a98f-6726c30905ec","Animal's Choice Veterinary Clinic","kjhlhkjjhlhj","ljhklhjhljk","jhllhhjlhj","hljhkljhjhl","Boarding,    Pet Supply","Wednesday","animalchoice.com","f2415111-c847-4584-bb86-41113657e4e0","50a1dc12-fd44-4eb7-9a05-352f2cf29bba","300","8am to 5pm"
"cce8fa5f-7184-4d9e-b455-e8681a45464d","Vet ng Gapo Animal Clinic","#67 National Hi-way, Brgy. Barretto","09123456789","vetnggapo@gmail.com","Eryl","Home Service,    Deworming","Monday,        Sunday","https://www.facebook.com/VNGAC","f2415111-c847-4584-bb86-41113657e4e0","9004411c-65ee-48dc-8263-ca840fa23f21","300","8am to 5pm"
"5d3db38e-2835-4af2-83df-51c590040dde","Office of the City Veterinarian","Arthur Street, Olongapo City Hall","09187278844","office@gmail.com","Eryl","Confinement,    Grooming,    Pet Supply,  CBC","Wednesday,    Thursday","office.com","f2415111-c847-4584-bb86-41113657e4e0","60e863ea-cc0b-4325-b8a2-0f2dd120349c","150","8am to 5pm"
"e81679f0-6b9b-40a2-a168-7235bd21c259","Lil One Stop Vet Clinic","32-C 20th Street, Olongapo","09282371174","lil@gmail.com","Lil","Confinement,   Deworming,   Home Service,  CBC","Monday","lil.com","e575bd15-d5c9-4e23-9e81-c5b8b4632fac","3cd506e4-17c6-478d-a372-c204edc1a955","200","9am to 6pm"
